TransactionID,ProductID,TransactionDate,TransactionType,Quantity,UnitCost,WarehouseID,BatchNumber,ExpiryDate
76,16.0,2022-12-22,Inbound,455.0,43.46,1,B000076,2023-05-16
77,16.0,2022-12-17,Inbound,310.0,43.46,2,B000077,2023-03-28
78,16.0,2022-12-06,Inbound,232.0,43.46,3,B000078,2023-05-13
79,16.0,2022-12-31,Inbound,415.0,43.46,4,B000079,2023-04-18
80,16.0,2022-12-08,Inbound,227.0,43.46,5,B000080,2023-05-05
81,17.0,2022-12-23,Inbound,440.0,25.12,1,B000081,2023-04-13
82,17.0,2022-12-23,Inbound,388.0,25.12,2,B000082,2023-02-20
83,17.0,2022-12-06,Inbound,309.0,25.12,3,B000083,2023-05-21
84,17.0,2022-12-19,Inbound,208.0,25.12,4,B000084,2023-03-04
85,17.0,2022-12-03,Inbound,350.0,25.12,5,B000085,2023-03-04
86,18.0,2022-12-14,Inbound,448.0,12.42,1,B000086,2023-01-31
87,18.0,2022-12-06,Inbound,357.0,12.42,2,B000087,2023-04-29
88,18.0,2022-12-09,Inbound,238.0,12.42,3,B000088,2023-05-04
89,18.0,2022-12-24,Inbound,351.0,12.42,4,B000089,2023-03-22
90,18.0,2022-12-15,Inbound,413.0,12.42,5,B000090,2023-03-04
91,19.0,2022-12-04,Inbound,392.0,40.53,1,B000091,2023-05-16
92,19.0,2022-12-28,Inbound,270.0,40.53,2,B000092,2023-03-14
93,19.0,2022-12-11,Inbound,494.0,40.53,3,B000093,2023-06-08
94,19.0,2022-12-28,Inbound,231.0,40.53,4,B000094,2023-04-10
95,19.0,2022-12-16,Inbound,472.0,40.53,5,B000095,2023-03-06
96,20.0,2022-12-25,Inbound,446.0,45.49,1,B000096,2023-03-15
97,20.0,2022-12-22,Inbound,490.0,45.49,2,B000097,2023-06-19
98,20.0,2022-12-04,Inbound,484.0,45.49,3,B000098,2023-04-17
99,20.0,2022-12-29,Inbound,332.0,45.49,4,B000099,2023-03-03
100,20.0,2022-12-03,Inbound,463.0,45.49,5,B000100,2023-03-25
101,21.0,2022-12-09,Inbound,204.0,34.35,1,B000101,2023-01-08
102,21.0,2022-12-02,Inbound,223.0,34.35,2,B000102,2023-02-18
103,21.0,2022-12-13,Inbound,327.0,34.35,3,B000103,2023-02-21
104,21.0,2022-12-30,Inbound,488.0,34.35,4,B000104,2023-03-22
105,21.0,2022-12-23,Inbound,311.0,34.35,5,B000105,2023-05-09
106,22.0,2022-12-08,Inbound,450.0,37.89,1,B000106,2023-01-29
107,22.0,2022-12-22,Inbound,238.0,37.89,2,B000107,2023-02-04
108,22.0,2022-12-16,Inbound,405.0,37.89,3,B000108,2023-04-14
109,22.0,2022-12-10,Inbound,463.0,37.89,4,B000109,2023-03-25
110,22.0,2022-12-08,Inbound,445.0,37.89,5,B000110,2023-03-17
111,23.0,2022-12-08,Inbound,281.0,47.9,1,B000111,2023-05-04
112,23.0,2022-12-24,Inbound,423.0,47.9,2,B000112,2023-02-05
113,23.0,2022-12-04,Inbound,397.0,47.9,3,B000113,2023-05-15
114,23.0,2022-12-17,Inbound,362.0,47.9,4,B000114,2023-05-07
115,23.0,2022-12-22,Inbound,265.0,47.9,5,B000115,2023-05-28
116,24.0,2022-12-26,Inbound,238.0,25.51,1,B000116,2023-06-18
117,24.0,2022-12-15,Inbound,202.0,25.51,2,B000117,2023-01-18
118,24.0,2022-12-07,Inbound,330.0,25.51,3,B000118,2023-02-11
119,24.0,2022-12-14,Inbound,227.0,25.51,4,B000119,2023-02-12
120,24.0,2022-12-09,Inbound,240.0,25.51,5,B000120,2023-03-01
121,25.0,2022-12-02,Inbound,491.0,40.14,1,B000121,2023-02-10
122,25.0,2022-12-31,Inbound,385.0,40.14,2,B000122,2023-05-25
123,25.0,2022-12-26,Inbound,391.0,40.14,3,B000123,2023-04-20
124,25.0,2022-12-05,Inbound,459.0,40.14,4,B000124,2023-01-24
125,25.0,2022-12-13,Inbound,300.0,40.14,5,B000125,2023-05-09
126,26.0,2022-12-03,Inbound,321.0,48.87,1,B000126,2023-03-09
127,26.0,2022-12-20,Inbound,363.0,48.87,2,B000127,2023-04-19
128,26.0,2022-12-16,Inbound,368.0,48.87,3,B000128,2023-04-07
129,26.0,2022-12-13,Inbound,416.0,48.87,4,B000129,2023-02-06
130,26.0,2022-12-12,Inbound,404.0,48.87,5,B000130,2023-03-21
131,27.0,2022-12-06,Inbound,306.0,23.33,1,B000131,2023-03-19
132,27.0,2022-12-18,Inbound,284.0,23.33,2,B000132,2023-02-27
133,27.0,2022-12-07,Inbound,453.0,23.33,3,B000133,2023-05-25
134,27.0,2022-12-04,Inbound,385.0,23.33,4,B000134,2023-03-08
135,27.0,2022-12-06,Inbound,430.0,23.33,5,B000135,2023-03-11
136,28.0,2022-12-03,Inbound,200.0,23.04,1,B000136,2023-03-01
137,28.0,2022-12-29,Inbound,242.0,23.04,2,B000137,2023-02-05
138,28.0,2022-12-04,Inbound,258.0,23.04,3,B000138,2023-03-19
139,28.0,2022-12-26,Inbound,243.0,23.04,4,B000139,2023-03-01
140,28.0,2022-12-12,Inbound,219.0,23.04,5,B000140,2023-05-31
141,29.0,2022-12-20,Inbound,443.0,47.09,1,B000141,2023-06-10
142,29.0,2022-12-07,Inbound,492.0,47.09,2,B000142,2023-02-23
143,29.0,2022-12-08,Inbound,339.0,47.09,3,B000143,2023-04-02
144,29.0,2022-12-21,Inbound,410.0,47.09,4,B000144,2023-02-28
145,29.0,2022-12-06,Inbound,267.0,47.09,5,B000145,2023-05-18
146,30.0,2022-12-30,Inbound,328.0,25.27,1,B000146,2023-04-12
147,30.0,2022-12-12,Inbound,208.0,25.27,2,B000147,2023-01-15
148,30.0,2022-12-18,Inbound,291.0,25.27,3,B000148,2023-04-13
149,30.0,2022-12-03,Inbound,426.0,25.27,4,B000149,2023-05-16
150,30.0,2022-12-05,Inbound,366.0,25.27,5,B000150,2023-04-12
151,31.0,2022-12-23,Inbound,420.0,19.14,1,B000151,2023-06-09
152,31.0,2022-12-24,Inbound,351.0,19.14,2,B000152,2023-03-23
153,31.0,2022-12-18,Inbound,476.0,19.14,3,B000153,2023-03-30
154,31.0,2022-12-12,Inbound,358.0,19.14,4,B000154,2023-05-05
155,31.0,2022-12-20,Inbound,352.0,19.14,5,B000155,2023-02-08
156,32.0,2022-12-16,Inbound,222.0,41.7,1,B000156,2023-02-01
157,32.0,2022-12-07,Inbound,217.0,41.7,2,B000157,2023-03-19
158,32.0,2022-12-15,Inbound,391.0,41.7,3,B000158,2023-04-15
159,32.0,2022-12-26,Inbound,273.0,41.7,4,B000159,2023-06-01
160,32.0,2022-12-02,Inbound,312.0,41.7,5,B000160,2023-04-11
161,33.0,2022-12-27,Inbound,355.0,21.05,1,B000161,2023-02-23
162,33.0,2022-12-04,Inbound,402.0,21.05,2,B000162,2023-03-31
163,33.0,2022-12-09,Inbound,378.0,21.05,3,B000163,2023-03-07
164,33.0,2022-12-15,Inbound,258.0,21.05,4,B000164,2023-01-25
165,33.0,2022-12-23,Inbound,388.0,21.05,5,B000165,2023-06-04
166,34.0,2022-12-20,Inbound,329.0,43.77,1,B000166,2023-03-16
167,34.0,2022-12-10,Inbound,267.0,43.77,2,B000167,2023-02-09
168,34.0,2022-12-27,Inbound,399.0,43.77,3,B000168,2023-03-14
169,34.0,2022-12-25,Inbound,255.0,43.77,4,B000169,2023-05-07
170,34.0,2022-12-27,Inbound,245.0,43.77,5,B000170,2023-02-13
171,35.0,2022-12-09,Inbound,484.0,38.65,1,B000171,2023-06-04
172,35.0,2022-12-24,Inbound,386.0,38.65,2,B000172,2023-02-14
173,35.0,2022-12-29,Inbound,280.0,38.65,3,B000173,2023-04-23
174,35.0,2022-12-09,Inbound,435.0,38.65,4,B000174,2023-01-26
175,35.0,2022-12-04,Inbound,376.0,38.65,5,B000175,2023-02-23
176,36.0,2022-12-05,Inbound,265.0,9.45,1,B000176,2023-03-27
177,36.0,2022-12-15,Inbound,317.0,9.45,2,B000177,2023-03-08
178,36.0,2022-12-13,Inbound,275.0,9.45,3,B000178,2023-05-28
179,36.0,2022-12-15,Inbound,400.0,9.45,4,B000179,2023-06-11
180,36.0,2022-12-08,Inbound,280.0,9.45,5,B000180,2023-05-19
181,37.0,2022-12-25,Inbound,287.0,15.22,1,B000181,2023-06-05
182,37.0,2022-12-25,Inbound,323.0,15.22,2,B000182,2023-06-01
183,37.0,2022-12-12,Inbound,342.0,15.22,3,B000183,2023-06-10
184,37.0,2022-12-04,Inbound,393.0,15.22,4,B000184,2023-04-30
185,37.0,2022-12-24,Inbound,387.0,15.22,5,B000185,2023-03-05
186,38.0,2022-12-07,Inbound,494.0,34.79,1,B000186,2023-01-31
187,38.0,2022-12-26,Inbound,284.0,34.79,2,B000187,2023-04-17
188,38.0,2022-12-20,Inbound,450.0,34.79,3,B000188,2023-03-28
189,38.0,2022-12-26,Inbound,309.0,34.79,4,B000189,2023-03-20
190,38.0,2022-12-18,Inbound,425.0,34.79,5,B000190,2023-03-30
191,39.0,2022-12-07,Inbound,417.0,6.98,1,B000191,2023-04-23
192,39.0,2022-12-15,Inbound,354.0,6.98,2,B000192,2023-04-26
193,39.0,2022-12-21,Inbound,358.0,6.98,3,B000193,2023-06-18
194,39.0,2022-12-04,Inbound,257.0,6.98,4,B000194,2023-01-28
195,39.0,2022-12-22,Inbound,479.0,6.98,5,B000195,2023-02-02
196,40.0,2022-12-31,Inbound,462.0,26.49,1,B000196,2023-04-20
197,40.0,2022-12-04,Inbound,392.0,26.49,2,B000197,2023-05-15
198,40.0,2022-12-04,Inbound,247.0,26.49,3,B000198,2023-01-17
199,40.0,2022-12-25,Inbound,352.0,26.49,4,B000199,2023-05-11
200,40.0,2022-12-22,Inbound,407.0,26.49,5,B000200,2023-06-12
201,41.0,2022-12-31,Inbound,361.0,15.13,1,B000201,2023-05-21
202,41.0,2022-12-23,Inbound,396.0,15.13,2,B000202,2023-02-02
203,41.0,2022-12-17,Inbound,478.0,15.13,3,B000203,2023-05-01
204,41.0,2022-12-26,Inbound,484.0,15.13,4,B000204,2023-06-02
205,41.0,2022-12-12,Inbound,245.0,15.13,5,B000205,2023-02-12
206,42.0,2022-12-10,Inbound,404.0,6.32,1,B000206,2023-05-30
207,42.0,2022-12-09,Inbound,419.0,6.32,2,B000207,2023-04-13
208,42.0,2022-12-27,Inbound,430.0,6.32,3,B000208,2023-05-25
209,42.0,2022-12-06,Inbound,403.0,6.32,4,B000209,2023-03-16
210,42.0,2022-12-04,Inbound,454.0,6.32,5,B000210,2023-02-12
211,43.0,2022-12-30,Inbound,251.0,10.63,1,B000211,2023-05-26
212,43.0,2022-12-06,Inbound,311.0,10.63,2,B000212,2023-04-24
213,43.0,2022-12-16,Inbound,394.0,10.63,3,B000213,2023-03-25
214,43.0,2022-12-09,Inbound,491.0,10.63,4,B000214,2023-03-05
215,43.0,2022-12-10,Inbound,498.0,10.63,5,B000215,2023-03-06
216,44.0,2022-12-03,Inbound,272.0,16.38,1,B000216,2023-02-21
217,44.0,2022-12-03,Inbound,379.0,16.38,2,B000217,2023-02-28
218,44.0,2022-12-30,Inbound,362.0,16.38,3,B000218,2023-06-24
219,44.0,2022-12-18,Inbound,329.0,16.38,4,B000219,2023-04-03
220,44.0,2022-12-02,Inbound,436.0,16.38,5,B000220,2023-02-26
221,45.0,2022-12-29,Inbound,373.0,31.79,1,B000221,2023-04-26
222,45.0,2022-12-10,Inbound,217.0,31.79,2,B000222,2023-01-18
223,45.0,2022-12-29,Inbound,295.0,31.79,3,B000223,2023-03-05
224,45.0,2022-12-15,Inbound,260.0,31.79,4,B000224,2023-03-29
225,45.0,2022-12-14,Inbound,269.0,31.79,5,B000225,2023-01-24
226,46.0,2022-12-07,Inbound,432.0,28.66,1,B000226,2023-05-03
227,46.0,2022-12-13,Inbound,292.0,28.66,2,B000227,2023-03-06
228,46.0,2022-12-02,Inbound,252.0,28.66,3,B000228,2023-01-16
229,46.0,2022-12-09,Inbound,346.0,28.66,4,B000229,2023-03-15
230,46.0,2022-12-06,Inbound,422.0,28.66,5,B000230,2023-04-12
231,47.0,2022-12-02,Inbound,443.0,29.6,1,B000231,2023-03-15
232,47.0,2022-12-09,Inbound,249.0,29.6,2,B000232,2023-05-11
233,47.0,2022-12-23,Inbound,274.0,29.6,3,B000233,2023-03-20
234,47.0,2022-12-10,Inbound,455.0,29.6,4,B000234,2023-02-17
235,47.0,2022-12-07,Inbound,224.0,29.6,5,B000235,2023-01-13
236,48.0,2022-12-28,Inbound,409.0,12.0,1,B000236,2023-03-02
237,48.0,2022-12-25,Inbound,368.0,12.0,2,B000237,2023-03-18
238,48.0,2022-12-28,Inbound,332.0,12.0,3,B000238,2023-05-21
239,48.0,2022-12-28,Inbound,285.0,12.0,4,B000239,2023-03-21
240,48.0,2022-12-17,Inbound,351.0,12.0,5,B000240,2023-04-11
241,49.0,2022-12-13,Inbound,209.0,25.7,1,B000241,2023-03-15
242,49.0,2022-12-16,Inbound,394.0,25.7,2,B000242,2023-02-22
243,49.0,2022-12-21,Inbound,278.0,25.7,3,B000243,2023-01-24
244,49.0,2022-12-05,Inbound,479.0,25.7,4,B000244,2023-02-24
245,49.0,2022-12-06,Inbound,440.0,25.7,5,B000245,2023-01-15
246,50.0,2022-12-29,Inbound,367.0,33.76,1,B000246,2023-06-19
247,50.0,2022-12-19,Inbound,217.0,33.76,2,B000247,2023-02-02
248,50.0,2022-12-13,Inbound,481.0,33.76,3,B000248,2023-05-14
249,50.0,2022-12-24,Inbound,409.0,33.76,4,B000249,2023-06-10
250,50.0,2022-12-09,Inbound,463.0,33.76,5,B000250,2023-05-12
251,14.0,2023-02-11,Outbound,-5.0,5.42,5,B000251,2023-02-11
252,40.0,2023-04-22,Outbound,-2.0,26.49,1,B000252,2023-06-07
253,30.0,2023-09-08,Outbound,-7.0,25.27,3,B000253,2023-04-14
254,39.0,2023-10-12,Outbound,-5.0,6.98,2,B000254,2023-06-24
255,3.0,2023-11-23,Outbound,-2.0,32.15,5,B000255,2023-03-20
256,3.0,2023-07-10,Inbound,113.0,32.15,5,B000256,2023-06-29
257,47.0,2023-01-19,Outbound,-6.0,29.6,4,B000257,2023-05-31
258,46.0,2023-09-04,Outbound,-9.0,28.66,5,B000258,2023-04-27
259,2.0,2023-12-01,Outbound,-1.0,31.73,1,B000259,2023-05-12
260,50.0,2023-06-11,Outbound,-1.0,33.76,4,B000260,2023-04-27
261,50.0,2023-10-10,Inbound,114.0,33.76,4,B000261,2023-02-09
262,6.0,2023-11-30,Outbound,-8.0,23.17,3,B000262,2023-02-07
263,6.0,2023-09-30,Inbound,89.0,23.17,3,B000263,2023-03-13
264,44.0,2023-02-19,Outbound,-6.0,16.38,1,B000264,2023-02-23
265,50.0,2023-02-19,Outbound,-8.0,33.76,4,B000265,2023-06-10
266,17.0,2023-07-14,Outbound,-3.0,25.12,4,B000266,2023-02-25
267,21.0,2023-05-17,Outbound,-4.0,34.35,2,B000267,2023-04-27
268,21.0,2023-12-11,Inbound,119.0,34.35,2,B000268,2023-04-27
269,41.0,2023-05-20,Outbound,-1.0,15.13,4,B000269,2023-06-17
270,36.0,2023-07-03,Outbound,-6.0,9.45,4,B000270,2023-03-04
271,7.0,2023-10-11,Outbound,-2.0,17.98,5,B000271,2023-03-26
272,7.0,2023-04-03,Inbound,136.0,17.98,5,B000272,2023-04-08
273,36.0,2023-01-17,Outbound,-9.0,9.45,1,B000273,2023-05-22
274,9.0,2023-08-16,Outbound,-5.0,25.66,1,B000274,2023-05-19
275,24.0,2023-12-10,Outbound,-2.0,25.51,2,B000275,2023-05-30
276,32.0,2023-07-06,Outbound,-3.0,41.7,1,B000276,2023-05-30
277,38.0,2023-08-23,Outbound,-2.0,34.79,2,B000277,2023-05-02
278,10.0,2023-04-02,Outbound,-4.0,10.74,3,B000278,2023-03-06
279,5.0,2023-04-09,Outbound,-9.0,15.41,1,B000279,2023-03-18
280,35.0,2023-10-08,Outbound,-9.0,38.65,4,B000280,2023-04-08
281,35.0,2023-01-23,Inbound,93.0,38.65,4,B000281,2023-05-04
282,31.0,2023-03-10,Outbound,-7.0,19.14,3,B000282,2023-06-27
283,38.0,2023-06-13,Outbound,-6.0,34.79,4,B000283,2023-03-03
284,38.0,2023-04-20,Inbound,134.0,34.79,4,B000284,2023-04-13
285,3.0,2023-08-19,Outbound,-9.0,32.15,5,B000285,2023-04-09
286,36.0,2023-02-13,Outbound,-8.0,9.45,3,B000286,2023-06-02
287,45.0,2023-06-27,Outbound,-4.0,31.79,2,B000287,2023-05-25
288,36.0,2023-09-23,Outbound,-8.0,9.45,5,B000288,2023-02-15
289,22.0,2023-12-03,Outbound,-3.0,37.89,1,B000289,2023-05-19
290,39.0,2023-01-29,Outbound,-7.0,6.98,1,B000290,2023-04-22
291,39.0,2023-08-27,Inbound,152.0,6.98,1,B000291,2023-05-13
292,49.0,2023-07-09,Outbound,-5.0,25.7,3,B000292,2023-05-31
293,49.0,2023-04-23,Inbound,186.0,25.7,3,B000293,2023-06-29
294,47.0,2023-10-04,Outbound,-3.0,29.6,1,B000294,2023-06-14
295,24.0,2023-08-24,Outbound,-7.0,25.51,4,B000295,2023-04-30
296,24.0,2023-02-10,Inbound,195.0,25.51,4,B000296,2023-06-04
297,42.0,2023-07-28,Outbound,-9.0,6.32,1,B000297,2023-06-07
298,8.0,2023-10-01,Outbound,-4.0,24.93,4,B000298,2023-05-02
299,48.0,2023-09-04,Outbound,-2.0,12.0,1,B000299,2023-03-27
300,15.0,2023-10-07,Outbound,-6.0,37.19,5,B000300,2023-04-21
301,34.0,2023-11-23,Outbound,-1.0,43.77,2,B000301,2023-04-30
302,34.0,2023-07-28,Inbound,96.0,43.77,2,B000302,2023-03-30
303,16.0,2023-10-02,Outbound,-5.0,43.46,1,B000303,2023-03-19
304,4.0,2023-10-12,Outbound,-4.0,22.83,5,B000304,2023-05-22
305,4.0,2023-05-22,Inbound,192.0,22.83,5,B000305,2023-03-25
306,24.0,2023-01-19,Outbound,-8.0,25.51,3,B000306,2023-06-25
307,24.0,2023-09-23,Inbound,174.0,25.51,3,B000307,2023-06-07
308,23.0,2023-12-26,Outbound,-9.0,47.9,1,B000308,2023-04-18
309,23.0,2023-04-05,Inbound,85.0,47.9,1,B000309,2023-06-12
310,48.0,2023-12-26,Outbound,-4.0,12.0,3,B000310,2023-03-27
311,48.0,2023-10-16,Inbound,73.0,12.0,3,B000311,2023-04-05
312,26.0,2023-05-12,Outbound,-3.0,48.87,2,B000312,2023-03-01
313,1.0,2023-06-24,Outbound,-5.0,44.31,1,B000313,2023-03-07
314,12.0,2023-05-03,Outbound,-8.0,44.44,3,B000314,2023-05-15
315,12.0,2023-07-02,Inbound,68.0,44.44,3,B000315,2023-06-23
316,39.0,2023-07-06,Outbound,-3.0,6.98,5,B000316,2023-03-08
317,7.0,2023-02-21,Outbound,-3.0,17.98,2,B000317,2023-02-16
318,33.0,2023-08-02,Outbound,-7.0,21.05,3,B000318,2023-02-20
319,29.0,2023-03-31,Outbound,-2.0,47.09,1,B000319,2023-02-15
320,13.0,2023-11-15,Outbound,-9.0,33.65,3,B000320,2023-02-22
321,11.0,2023-12-19,Outbound,-6.0,29.5,5,B000321,2023-05-14
322,7.0,2023-03-11,Outbound,-2.0,17.98,2,B000322,2023-06-10
323,40.0,2023-02-14,Outbound,-4.0,26.49,3,B000323,2023-06-27
324,14.0,2023-12-20,Outbound,-10.0,5.42,4,B000324,2023-06-21
325,18.0,2023-07-14,Outbound,-2.0,12.42,5,B000325,2023-02-17
326,40.0,2023-07-06,Outbound,-2.0,26.49,5,B000326,2023-06-11
327,35.0,2023-01-28,Outbound,-8.0,38.65,2,B000327,2023-04-24
328,22.0,2023-06-17,Outbound,-10.0,37.89,3,B000328,2023-06-12
329,44.0,2023-05-09,Outbound,-7.0,16.38,4,B000329,2023-06-07
330,24.0,2023-10-17,Outbound,-4.0,25.51,5,B000330,2023-06-21
331,9.0,2023-06-04,Outbound,-7.0,25.66,4,B000331,2023-04-16
332,9.0,2023-04-02,Inbound,138.0,25.66,4,B000332,2023-03-10
333,23.0,2023-08-13,Outbound,-7.0,47.9,1,B000333,2023-05-09
334,23.0,2023-10-14,Inbound,92.0,47.9,1,B000334,2023-06-16
335,48.0,2023-06-07,Outbound,-8.0,12.0,2,B000335,2023-04-28
336,21.0,2023-02-18,Outbound,-2.0,34.35,2,B000336,2023-06-07
337,13.0,2023-10-11,Outbound,-10.0,33.65,2,B000337,2023-03-02
338,13.0,2023-09-03,Inbound,83.0,33.65,2,B000338,2023-05-07
339,32.0,2023-11-23,Outbound,-1.0,41.7,5,B000339,2023-05-09
340,41.0,2023-03-10,Outbound,-2.0,15.13,5,B000340,2023-03-27
341,7.0,2023-08-17,Outbound,-5.0,17.98,2,B000341,2023-03-05
342,27.0,2023-10-17,Outbound,-9.0,23.33,4,B000342,2023-04-01
343,39.0,2023-09-19,Outbound,-5.0,6.98,3,B000343,2023-03-26
344,21.0,2023-02-10,Outbound,-10.0,34.35,3,B000344,2023-04-08
345,13.0,2023-11-11,Outbound,-8.0,33.65,2,B000345,2023-06-09
346,40.0,2023-08-19,Outbound,-7.0,26.49,3,B000346,2023-02-14
347,18.0,2023-06-25,Outbound,-9.0,12.42,3,B000347,2023-06-28
348,38.0,2023-09-01,Outbound,-7.0,34.79,3,B000348,2023-02-25
349,39.0,2023-08-14,Outbound,-10.0,6.98,3,B000349,2023-06-11
350,42.0,2023-02-06,Outbound,-7.0,6.32,1,B000350,2023-03-14
351,42.0,2023-05-03,Inbound,64.0,6.32,1,B000351,2023-06-29
352,32.0,2023-04-11,Outbound,-6.0,41.7,4,B000352,2023-04-12
353,32.0,2023-06-21,Inbound,145.0,41.7,4,B000353,2023-04-23
