OrderDetailID,OrderID,ProductID,Quantity,UnitPrice,DiscountPercent,TotalLineAmount
94,32,28,8,35.08,0.15,238.54399999999998
95,32,16,8,70.97,0.08,522.3392
96,32,35,5,55.38,0.01,274.13100000000003
97,33,21,7,84.01,0.19,476.33670000000006
98,34,37,10,30.94,0.05,293.93
99,34,14,4,95.51,0.03,370.5788
100,35,47,3,62.32,0.12,164.5248
101,35,29,9,88.54,0.03,772.9542
102,35,3,8,46.64,0.18,305.95840000000004
103,35,36,1,57.5,0.09,52.325
104,36,49,4,27.29,0.02,106.9768
105,36,10,9,83.62,0.03,730.0026
106,36,8,2,74.62,0.15,126.854
107,36,38,10,55.98,0.05,531.81
108,36,25,6,17.01,0.12,89.8128
109,37,30,3,95.73,0.12,252.7272
110,37,23,8,26.09,0.17,173.2376
111,37,22,3,88.78,0.12,234.37920000000003
112,37,45,6,64.46,0.07,359.68679999999995
113,37,1,6,36.31,0.04,209.1456
114,38,41,5,24.85,0.03,120.5225
115,38,48,1,34.73,0.02,34.035399999999996
116,38,3,2,46.64,0.02,91.4144
117,39,1,1,36.31,0.15,30.863500000000002
118,39,35,4,55.38,0.19,179.43120000000002
119,39,2,4,23.26,0.01,92.1096
120,40,11,2,40.72,0.13,70.8528
121,41,44,9,79.47,0.11,636.5547
122,41,16,5,70.97,0.17,294.5255
123,41,46,6,78.86,0.04,454.23359999999997
124,41,45,1,64.46,0.13,56.08019999999999
125,41,19,1,42.91,0.02,42.05179999999999
126,42,25,8,17.01,0.09,123.83280000000002
127,42,31,7,57.86,0.14,348.31719999999996
128,42,36,5,57.5,0.16,241.5
129,42,22,1,88.78,0.14,76.3508
130,42,35,10,55.38,0.1,498.4200000000001
131,43,11,5,40.72,0.0,203.6
132,43,3,9,46.64,0.03,407.1672
133,44,33,10,57.56,0.2,460.48
134,44,43,2,51.53,0.16,86.57039999999999
135,44,44,9,79.47,0.1,643.707
136,44,9,5,81.64,0.06,383.70799999999997
137,45,45,8,64.46,0.05,489.8959999999999
138,45,20,9,60.23,0.07,504.1250999999999
139,45,31,1,57.86,0.18,47.4452
140,46,27,1,83.25,0.07,77.4225
141,46,6,1,31.72,0.13,27.5964
142,46,29,3,88.54,0.04,254.99519999999998
143,46,41,8,24.85,0.14,170.96800000000002
144,46,14,10,95.51,0.16,802.284
145,47,45,7,64.46,0.04,433.17119999999994
146,47,36,2,57.5,0.15,97.75
147,47,26,10,27.01,0.07,251.193
148,48,11,1,40.72,0.15,34.611999999999995
149,49,13,9,48.07,0.17,359.0829
150,49,7,6,20.53,0.16,103.4712
151,49,17,5,67.11,0.19,271.7955
152,49,42,4,80.86,0.2,258.752
153,50,7,2,20.53,0.09,37.3646
154,50,29,7,88.54,0.1,557.8020000000001
155,50,19,9,42.91,0.18,316.6758
156,50,11,6,40.72,0.12,215.0016
157,50,37,6,30.94,0.17,154.0812
158,51,26,9,27.01,0.02,238.2282
159,51,13,1,48.07,0.14,41.3402
160,51,12,9,79.66,0.07,666.7541999999999
161,51,41,8,24.85,0.18,163.01600000000002
162,52,22,7,88.78,0.08,571.7432
163,52,24,7,97.28,0.02,667.3408000000001
164,52,7,8,20.53,0.09,149.4584
165,52,29,7,88.54,0.17,514.4174
166,52,50,7,23.37,0.02,160.3182
167,53,47,7,62.32,0.14,375.1664
168,54,1,1,36.31,0.1,32.679
169,54,26,9,27.01,0.01,240.6591
170,54,45,3,64.46,0.06,181.7772
171,54,32,3,55.49,0.18,136.5054
172,54,7,7,20.53,0.01,142.2729
173,55,9,4,81.64,0.11,290.6384
174,56,28,6,35.08,0.17,174.6984
175,56,23,5,26.09,0.11,116.1005
176,56,41,6,24.85,0.0,149.10000000000002
177,56,15,1,84.6,0.03,82.062
178,56,18,2,39.71,0.15,67.507
179,57,11,5,40.72,0.02,199.528
180,58,34,5,27.1,0.01,134.145
181,58,39,1,69.63,0.04,66.84479999999999
182,58,29,5,88.54,0.12,389.576
183,58,7,7,20.53,0.07,133.6503
184,59,27,10,83.25,0.01,824.175
185,59,19,3,42.91,0.06,121.00619999999998
186,60,44,5,79.47,0.13,345.6945
187,60,35,10,55.38,0.04,531.648
188,60,46,3,78.86,0.17,196.36139999999997
189,60,48,6,34.73,0.01,206.2962
190,60,27,5,83.25,0.0,416.25
191,61,6,8,31.72,0.03,246.1472
192,61,46,7,78.86,0.04,529.9391999999999
193,61,11,7,40.72,0.1,256.536
194,62,27,8,83.25,0.15,566.1
195,62,33,7,57.56,0.16,338.4528
196,63,36,3,57.5,0.16,144.9
197,63,7,9,20.53,0.08,169.9884
198,64,48,6,34.73,0.0,208.38
199,64,36,3,57.5,0.14,148.35
200,64,19,3,42.91,0.16,108.13319999999999
201,64,42,3,80.86,0.04,232.87679999999997
202,64,39,5,69.63,0.09,316.81649999999996
203,65,28,3,35.08,0.07,97.87319999999998
204,65,2,6,23.26,0.09,126.9996
205,65,42,5,80.86,0.02,396.214
206,65,1,2,36.31,0.02,71.16760000000001
207,65,5,3,65.94,0.1,178.038
208,66,10,8,83.62,0.18,548.5472000000001
209,66,7,8,20.53,0.2,131.39200000000002
210,66,6,2,31.72,0.02,62.1712
211,67,42,6,80.86,0.18,397.8312
212,68,2,1,23.26,0.07,21.6318
213,69,40,3,14.37,0.16,36.212399999999995
214,69,21,6,84.01,0.12,443.57280000000003
215,69,34,5,27.1,0.16,113.82
216,69,16,6,70.97,0.16,357.68879999999996
217,69,45,10,64.46,0.13,560.8019999999999
218,70,13,6,48.07,0.11,256.6938
219,71,44,7,79.47,0.12,489.5352
220,71,36,3,57.5,0.14,148.35
221,72,12,6,79.66,0.2,382.368
222,72,25,1,17.01,0.18,13.948200000000002
223,72,39,9,69.63,0.12,551.4696
224,73,22,10,88.78,0.17,736.8739999999999
225,73,10,9,83.62,0.19,609.5898000000001
226,73,16,4,70.97,0.12,249.8144
227,74,14,2,95.51,0.02,187.1996
228,75,18,4,39.71,0.02,155.6632
229,76,5,3,65.94,0.19,160.23420000000002
230,76,26,1,27.01,0.06,25.3894
231,77,31,5,57.86,0.17,240.119
232,77,22,2,88.78,0.18,145.59920000000002
233,77,2,4,23.26,0.07,86.5272
234,78,15,6,84.6,0.14,436.53599999999994
235,78,17,5,67.11,0.09,305.3505
236,78,43,1,51.53,0.1,46.377
237,78,10,8,83.62,0.13,581.9952000000001
238,79,18,10,39.71,0.01,393.129
239,79,33,5,57.56,0.04,276.288
240,80,21,7,84.01,0.19,476.33670000000006
241,80,18,1,39.71,0.11,35.3419
242,80,29,5,88.54,0.06,416.13800000000003
243,80,14,2,95.51,0.07,177.6486
244,80,35,9,55.38,0.14,428.6412
245,81,9,6,81.64,0.09,445.75440000000003
246,82,9,5,81.64,0.13,355.134
247,82,3,2,46.64,0.01,92.3472
248,82,36,2,57.5,0.03,111.55
249,82,32,5,55.49,0.01,274.6755
250,83,39,9,69.63,0.19,507.6027
251,83,6,5,31.72,0.17,131.63799999999998
252,83,35,4,55.38,0.04,212.6592
253,83,16,10,70.97,0.03,688.409
254,84,38,5,55.98,0.16,235.11599999999999
255,84,33,9,57.56,0.17,429.97319999999996
256,84,16,2,70.97,0.15,120.649
257,84,18,6,39.71,0.16,200.1384
258,85,14,3,95.51,0.03,277.9341
259,85,48,10,34.73,0.15,295.2049999999999
260,85,11,7,40.72,0.14,245.13439999999997
261,86,18,4,39.71,0.09,144.5444
262,86,3,9,46.64,0.12,369.3888
263,86,26,7,27.01,0.11,168.27230000000003
264,86,38,3,55.98,0.07,156.18419999999998
265,86,30,9,95.73,0.01,852.9543
266,87,36,9,57.5,0.04,496.79999999999995
267,87,40,9,14.37,0.13,112.51709999999999
268,87,47,3,62.32,0.03,181.3512
269,87,28,3,35.08,0.18,86.2968
270,87,7,10,20.53,0.1,184.77
271,88,24,5,97.28,0.02,476.67199999999997
272,88,33,7,57.56,0.17,334.4236
273,88,13,10,48.07,0.02,471.08599999999996
274,88,50,8,23.37,0.07,173.87279999999998
275,88,32,8,55.49,0.04,426.1632
276,89,49,5,27.29,0.01,135.0855
277,90,46,1,78.86,0.13,68.6082
278,90,5,1,65.94,0.07,61.32419999999999
279,90,17,10,67.11,0.14,577.146
280,90,42,9,80.86,0.18,596.7468
281,91,39,5,69.63,0.16,292.44599999999997
282,92,49,2,27.29,0.15,46.393
283,93,48,4,34.73,0.06,130.58479999999997
284,93,2,1,23.26,0.1,20.934
285,93,25,10,17.01,0.03,164.997
286,93,6,7,31.72,0.15,188.73399999999998
287,94,19,9,42.91,0.08,355.29479999999995
288,94,37,2,30.94,0.14,53.2168
289,94,49,5,27.29,0.19,110.5245
290,94,24,6,97.28,0.03,566.1696000000001
291,95,30,9,95.73,0.19,697.8717
292,96,48,5,34.73,0.11,154.5485
293,96,27,5,83.25,0.07,387.11249999999995
294,96,23,3,26.09,0.07,72.79109999999999
295,96,10,6,83.62,0.03,486.6684
296,97,38,4,55.98,0.16,188.09279999999998
297,97,23,5,26.09,0.03,126.53649999999999
298,97,45,7,64.46,0.05,428.65899999999993
299,97,10,10,83.62,0.14,719.1320000000001
300,97,43,1,51.53,0.13,44.8311
301,98,9,1,81.64,0.11,72.6596
302,98,25,6,17.01,0.12,89.8128
303,99,17,1,67.11,0.19,54.359100000000005
304,99,45,9,64.46,0.16,487.31759999999997
305,99,10,10,83.62,0.04,802.7520000000001
306,100,23,4,26.09,0.14,89.7496
307,100,9,10,81.64,0.07,759.252
308,100,6,4,31.72,0.15,107.848
309,101,13,9,48.07,0.07,402.3459
310,101,35,2,55.38,0.03,107.4372
311,102,6,2,31.72,0.12,55.8272
312,103,16,10,70.97,0.04,681.312
313,104,32,2,55.49,0.09,100.99180000000001
314,104,29,1,88.54,0.2,70.83200000000001
315,104,44,9,79.47,0.12,629.4024000000001
316,104,24,6,97.28,0.07,542.8224
317,105,11,7,40.72,0.15,242.28399999999996
318,105,21,1,84.01,0.11,74.7689
319,105,19,9,42.91,0.06,363.01859999999994
320,105,1,8,36.31,0.17,241.0984
321,105,42,9,80.86,0.07,676.7982
322,106,49,10,27.29,0.18,223.778
323,106,44,2,79.47,0.12,139.8672
324,106,3,7,46.64,0.06,306.8912
325,106,41,6,24.85,0.08,137.17200000000003
326,106,6,8,31.72,0.07,235.99679999999998
327,107,10,6,83.62,0.06,471.6168
328,107,39,10,69.63,0.04,668.448
329,107,20,8,60.23,0.12,424.01919999999996
330,107,50,2,23.37,0.15,39.729
331,108,39,9,69.63,0.07,582.8031
332,108,5,7,65.94,0.12,406.1904
333,109,30,2,95.73,0.08,176.1432
334,109,7,9,20.53,0.05,175.5315
335,109,13,2,48.07,0.09,87.48740000000001
336,109,49,1,27.29,0.03,26.4713
337,110,14,4,95.51,0.11,340.0156
338,110,30,9,95.73,0.02,844.3386
339,110,41,5,24.85,0.01,123.0075
340,110,39,4,69.63,0.13,242.3124
341,110,47,7,62.32,0.16,366.4416
342,111,43,6,51.53,0.18,253.52760000000004
343,111,7,7,20.53,0.12,126.46480000000001
344,112,22,2,88.78,0.19,143.8236
345,112,29,5,88.54,0.1,398.43000000000006
346,112,12,1,79.66,0.05,75.67699999999999
347,112,40,3,14.37,0.18,35.3502
348,112,10,9,83.62,0.08,692.3736000000001
349,113,24,9,97.28,0.06,822.9888
350,114,27,1,83.25,0.12,73.26
351,114,34,7,27.1,0.13,165.03900000000002
352,114,8,8,74.62,0.13,519.3552000000001
353,115,38,9,55.98,0.08,463.5144
354,115,3,2,46.64,0.17,77.4224
355,115,30,4,95.73,0.07,356.1156
356,116,33,6,57.56,0.03,334.99920000000003
357,116,30,10,95.73,0.17,794.559
358,116,14,8,95.51,0.17,634.1864
359,116,8,1,74.62,0.12,65.6656
360,117,6,10,31.72,0.18,260.104
361,117,36,2,57.5,0.02,112.7
362,117,28,9,35.08,0.14,271.51919999999996
363,117,12,7,79.66,0.2,446.096
364,117,8,2,74.62,0.1,134.316
365,118,37,7,30.94,0.05,205.751
366,118,18,8,39.71,0.19,257.3208
367,118,45,2,64.46,0.17,107.00359999999998
368,119,33,10,57.56,0.07,535.308
369,119,25,5,17.01,0.15,72.2925
370,119,3,2,46.64,0.13,81.1536
371,119,11,8,40.72,0.11,289.9264
372,120,24,9,97.28,0.13,761.7024
373,120,28,5,35.08,0.18,143.828
374,120,27,3,83.25,0.17,207.2925
375,120,10,10,83.62,0.02,819.476
376,121,18,8,39.71,0.16,266.8512
377,121,19,4,42.91,0.15,145.89399999999998
378,121,34,8,27.1,0.05,205.96
379,121,28,1,35.08,0.04,33.6768
380,122,30,2,95.73,0.04,183.8016
381,122,35,4,55.38,0.02,217.08960000000002
382,122,18,9,39.71,0.15,303.7815
383,122,5,3,65.94,0.03,191.88539999999998
384,123,42,4,80.86,0.12,284.6272
385,123,35,4,55.38,0.12,194.9376
386,124,16,4,70.97,0.08,261.1696
387,125,3,3,46.64,0.03,135.72240000000002
388,125,14,5,95.51,0.0,477.55
389,125,16,10,70.97,0.11,631.633
390,125,17,6,67.11,0.07,374.4737999999999
391,126,1,7,36.31,0.05,241.4615
392,126,20,4,60.23,0.08,221.6464
393,127,22,7,88.78,0.16,522.0264
394,127,33,8,57.56,0.07,428.2464
395,127,18,1,39.71,0.06,37.3274
396,127,24,9,97.28,0.14,752.9472
397,128,29,7,88.54,0.19,502.0218000000001
398,128,12,2,79.66,0.14,137.0152
399,129,10,2,83.62,0.11,148.8436
400,129,48,4,34.73,0.02,136.14159999999998
401,129,30,9,95.73,0.11,766.7973000000001
402,130,3,10,46.64,0.11,415.096
403,130,2,8,23.26,0.04,178.6368
404,130,17,9,67.11,0.05,573.7905
405,131,15,2,84.6,0.05,160.73999999999998
406,132,7,5,20.53,0.18,84.17300000000002
407,133,16,7,70.97,0.05,471.9504999999999
408,133,27,4,83.25,0.12,293.04
409,134,45,6,64.46,0.12,340.3488
410,134,1,8,36.31,0.05,275.956
411,135,25,6,17.01,0.01,101.0394
412,135,22,2,88.78,0.05,168.682
413,135,32,10,55.49,0.01,549.351
414,135,46,3,78.86,0.19,191.6298
415,135,26,2,27.01,0.0,54.02
416,136,37,7,30.94,0.17,179.7614
417,136,33,5,57.56,0.08,264.776
418,136,35,5,55.38,0.17,229.82700000000003
419,136,38,2,55.98,0.03,108.60119999999999
420,136,16,7,70.97,0.17,412.3357
421,137,24,2,97.28,0.02,190.6688
422,137,3,8,46.64,0.16,313.4208
423,137,19,8,42.91,0.16,288.35519999999997
424,137,33,6,57.56,0.18,283.19520000000006
425,138,28,6,35.08,0.17,174.6984
426,138,50,8,23.37,0.06,175.7424
427,138,5,9,65.94,0.03,575.6562
428,138,2,8,23.26,0.09,169.33280000000002
429,139,27,1,83.25,0.18,68.265
430,140,30,8,95.73,0.04,735.2064
431,140,27,8,83.25,0.06,626.04
432,140,8,6,74.62,0.07,416.3796
433,140,41,7,24.85,0.14,149.597
434,141,24,7,97.28,0.19,551.5776000000001
435,141,13,1,48.07,0.17,39.8981
436,142,49,6,27.29,0.06,153.9156
437,142,29,2,88.54,0.12,155.83040000000003
438,142,3,5,46.64,0.11,207.548
439,142,20,8,60.23,0.08,443.2928
440,143,33,10,57.56,0.2,460.48
441,143,29,4,88.54,0.13,308.11920000000003
442,143,48,1,34.73,0.08,31.9516
443,143,50,10,23.37,0.02,229.026
444,143,23,8,26.09,0.16,175.32479999999998
445,144,44,3,79.47,0.09,216.9531
446,144,32,5,55.49,0.19,224.7345
447,144,9,8,81.64,0.14,561.6831999999999
448,145,9,2,81.64,0.14,140.42079999999999
449,146,39,3,69.63,0.14,179.6454
450,146,16,4,70.97,0.17,235.6204
451,147,35,4,55.38,0.01,219.3048
452,148,16,3,70.97,0.06,200.13539999999998
453,148,17,1,67.11,0.2,53.688
454,148,9,9,81.64,0.13,639.2411999999999
455,148,46,1,78.86,0.2,63.088
456,148,6,1,31.72,0.16,26.644799999999996
457,149,14,7,95.51,0.18,548.2274000000001
458,149,29,10,88.54,0.13,770.2980000000001
459,149,32,5,55.49,0.17,230.28349999999998
460,150,29,7,88.54,0.07,576.3954
461,150,3,8,46.64,0.04,358.1952
462,150,34,5,27.1,0.19,109.75500000000001
463,151,21,6,84.01,0.11,448.61340000000007
464,151,27,6,83.25,0.04,479.52
465,151,28,10,35.08,0.14,301.68799999999993
466,151,6,8,31.72,0.18,208.0832
467,151,17,6,67.11,0.14,346.28759999999994
468,152,44,5,79.47,0.07,369.5355
469,152,13,5,48.07,0.05,228.33249999999998
470,152,18,1,39.71,0.11,35.3419
471,153,6,6,31.72,0.15,161.772
472,153,1,3,36.31,0.02,106.7514
473,153,11,7,40.72,0.08,262.23679999999996
474,153,29,9,88.54,0.15,677.331
475,153,3,4,46.64,0.2,149.24800000000002
476,154,26,6,27.01,0.05,153.957
477,154,34,10,27.1,0.17,224.92999999999998
478,154,25,3,17.01,0.06,47.968199999999996
479,154,43,7,51.53,0.02,353.49580000000003
480,154,20,7,60.23,0.06,396.31339999999994
481,155,14,6,95.51,0.08,527.2152000000001
482,155,50,7,23.37,0.17,135.7797
483,156,8,4,74.62,0.13,259.67760000000004
484,156,39,2,69.63,0.01,137.8674
485,156,46,4,78.86,0.15,268.12399999999997
486,157,3,4,46.64,0.1,167.904
487,157,26,5,27.01,0.17,112.09150000000001
488,157,50,6,23.37,0.16,117.78479999999999
489,157,43,5,51.53,0.1,231.885
490,158,23,3,26.09,0.04,75.13919999999999
491,158,25,1,17.01,0.16,14.288400000000001
492,158,1,5,36.31,0.2,145.24
493,158,42,3,80.86,0.15,206.19299999999998
494,159,42,7,80.86,0.1,509.418
495,159,29,1,88.54,0.16,74.3736
496,159,23,9,26.09,0.15,199.5885
497,159,34,4,27.1,0.01,107.316
498,159,21,3,84.01,0.03,244.46910000000003
499,160,21,9,84.01,0.14,650.2374
500,161,46,1,78.86,0.18,64.6652
501,161,1,6,36.31,0.0,217.86
502,161,25,4,17.01,0.06,63.9576
503,161,8,1,74.62,0.12,65.6656
504,161,19,1,42.91,0.19,34.7571
505,162,29,3,88.54,0.14,228.4332
506,162,30,9,95.73,0.05,818.4915
507,162,16,1,70.97,0.12,62.4536
508,162,26,8,27.01,0.14,185.8288
509,162,8,2,74.62,0.04,143.2704
510,163,33,4,57.56,0.05,218.728
511,163,12,6,79.66,0.05,454.06199999999995
512,163,40,3,14.37,0.0,43.11
513,164,3,2,46.64,0.0,93.28
514,164,15,1,84.6,0.1,76.14
515,164,6,2,31.72,0.08,58.3648
516,164,39,3,69.63,0.03,202.62329999999997
517,164,18,9,39.71,0.04,343.09439999999995
518,165,5,8,65.94,0.12,464.2176
519,166,30,8,95.73,0.2,612.672
520,166,29,10,88.54,0.1,796.8600000000001
521,166,8,9,74.62,0.06,631.2852
522,167,38,7,55.98,0.13,340.91819999999996
523,167,10,3,83.62,0.05,238.317
524,167,8,5,74.62,0.13,324.59700000000004
525,168,22,9,88.78,0.05,759.069
526,168,34,8,27.1,0.03,210.296
527,168,8,4,74.62,0.03,289.5256
528,168,26,7,27.01,0.2,151.25600000000003
529,169,18,6,39.71,0.2,190.608
530,169,27,5,83.25,0.19,337.1625
531,169,11,5,40.72,0.05,193.42
532,169,6,8,31.72,0.07,235.99679999999998
533,169,28,7,35.08,0.18,201.35920000000002
534,170,44,1,79.47,0.16,66.7548
535,170,4,2,85.56,0.09,155.7192
536,170,1,5,36.31,0.03,176.1035
537,170,23,8,26.09,0.09,189.9352
538,170,29,7,88.54,0.19,502.0218000000001
539,171,35,8,55.38,0.1,398.73600000000005
540,171,20,4,60.23,0.13,209.60039999999998
541,171,10,4,83.62,0.09,304.3768
542,171,9,7,81.64,0.08,525.7616
543,172,45,2,64.46,0.18,105.7144
544,172,8,5,74.62,0.04,358.176
545,173,27,5,83.25,0.01,412.0875
546,173,25,9,17.01,0.04,146.9664
547,173,39,8,69.63,0.07,518.0472
548,173,49,10,27.29,0.02,267.44199999999995
549,173,48,10,34.73,0.11,309.097
550,174,10,3,83.62,0.19,203.19660000000002
551,174,47,5,62.32,0.13,271.09200000000004
552,174,26,1,27.01,0.04,25.9296
553,175,6,9,31.72,0.15,242.65800000000002
554,175,28,6,35.08,0.06,197.85119999999998
555,176,12,1,79.66,0.08,73.2872
556,176,44,5,79.47,0.01,393.3765
557,177,23,10,26.09,0.16,219.15599999999998
558,177,43,9,51.53,0.02,454.4946
559,177,46,3,78.86,0.18,193.9956
560,177,47,1,62.32,0.04,59.8272
561,178,16,4,70.97,0.07,264.0084
562,178,37,1,30.94,0.03,30.0118
563,178,13,4,48.07,0.07,178.82039999999998
564,178,6,1,31.72,0.19,25.6932
565,178,39,7,69.63,0.19,394.8021
566,179,20,2,60.23,0.15,102.39099999999999
567,179,6,10,31.72,0.03,307.68399999999997
568,180,9,7,81.64,0.13,497.18760000000003
569,180,27,9,83.25,0.08,689.3100000000001
570,181,30,1,95.73,0.19,77.5413
571,181,13,2,48.07,0.11,85.5646
572,182,29,2,88.54,0.14,152.2888
573,182,20,8,60.23,0.05,457.74799999999993
574,183,12,2,79.66,0.07,148.1676
575,183,10,3,83.62,0.05,238.317
576,183,41,1,24.85,0.17,20.6255
577,183,39,9,69.63,0.1,564.0029999999999
578,184,2,6,23.26,0.14,120.0216
579,184,30,10,95.73,0.08,880.7160000000001
580,184,24,3,97.28,0.03,283.08480000000003
581,185,30,3,95.73,0.12,252.7272
582,185,19,3,42.91,0.07,119.71889999999998
583,185,6,3,31.72,0.07,88.49879999999999
584,185,3,9,46.64,0.01,415.56239999999997
585,185,39,4,69.63,0.16,233.9568
586,186,29,4,88.54,0.18,290.41120000000006
587,186,41,1,24.85,0.03,24.1045
588,186,15,10,84.6,0.02,829.08
589,186,11,1,40.72,0.04,39.0912
590,186,2,2,23.26,0.18,38.14640000000001
591,187,13,7,48.07,0.17,279.2867
592,187,3,1,46.64,0.1,41.976
593,187,27,10,83.25,0.13,724.275
594,187,33,8,57.56,0.08,423.64160000000004
595,187,45,6,64.46,0.16,324.8784
596,188,16,4,70.97,0.04,272.52479999999997
597,189,44,1,79.47,0.03,77.0859
598,189,6,2,31.72,0.03,61.5368
599,189,3,4,46.64,0.07,173.5008
600,190,20,3,60.23,0.03,175.2693
601,190,14,8,95.51,0.11,680.0312
602,190,32,9,55.49,0.06,469.4454
603,191,7,5,20.53,0.12,90.33200000000001
604,191,29,6,88.54,0.06,499.3656
605,191,43,4,51.53,0.16,173.14079999999998
606,191,30,9,95.73,0.01,852.9543
607,192,19,7,42.91,0.02,294.3626
608,192,7,1,20.53,0.12,18.0664
609,193,27,3,83.25,0.15,212.2875
610,193,17,4,67.11,0.06,252.3336
611,193,1,2,36.31,0.04,69.7152
612,193,43,5,51.53,0.17,213.84949999999998
613,194,10,5,83.62,0.15,355.385
614,194,8,9,74.62,0.11,597.7062000000001
615,194,9,7,81.64,0.1,514.332
616,194,27,5,83.25,0.05,395.4375
617,194,41,3,24.85,0.19,60.385500000000015
618,195,16,2,70.97,0.11,126.3266
619,195,31,10,57.86,0.03,561.242
620,195,40,6,14.37,0.14,74.1492
621,195,29,7,88.54,0.06,582.5932
622,195,25,10,17.01,0.09,154.79100000000003
623,196,11,9,40.72,0.15,311.508
624,196,28,6,35.08,0.05,199.956
625,196,45,8,64.46,0.1,464.11199999999997
626,196,43,3,51.53,0.03,149.9523
627,196,42,2,80.86,0.13,140.6964
628,197,25,6,17.01,0.16,85.7304
629,197,38,7,55.98,0.13,340.91819999999996
630,197,3,5,46.64,0.13,202.884
631,197,49,1,27.29,0.05,25.9255
632,197,39,8,69.63,0.19,451.2024
633,198,25,2,17.01,0.13,29.597400000000004
634,198,7,10,20.53,0.04,197.088
635,198,36,1,57.5,0.12,50.6
636,198,38,5,55.98,0.09,254.70899999999997
